date,value
2017-07-17T04:00:12Z,570.0
2017-07-17T04:01:17Z,575.0
2017-07-17T04:02:21Z,557.0
2017-07-17T04:03:26Z,569.0
2017-07-17T04:04:30Z,562.0
2017-07-17T04:05:35Z,563.0
2017-07-17T04:06:39Z,569.0
2017-07-17T04:07:43Z,560.0
2017-07-17T04:08:48Z,564.0
2017-07-17T04:09:52Z,570.0
2017-07-17T04:10:57Z,566.0
2017-07-17T04:12:01Z,569.0
2017-07-17T04:13:06Z,565.0
2017-07-17T04:14:10Z,564.0
2017-07-17T04:15:15Z,564.0
2017-07-17T04:16:21Z,559.0
2017-07-17T04:17:26Z,567.0
2017-07-17T04:18:30Z,567.0
2017-07-17T04:19:35Z,562.0
2017-07-17T04:20:39Z,566.0
2017-07-17T04:21:44Z,575.0
2017-07-17T04:22:48Z,564.0
2017-07-17T04:23:54Z,564.0
2017-07-17T04:24:59Z,569.0
2017-07-17T04:26:04Z,570.0
2017-07-17T04:27:08Z,569.0
2017-07-17T04:28:14Z,567.0
2017-07-17T04:29:18Z,564.0
2017-07-17T04:30:23Z,569.0
2017-07-17T04:31:27Z,562.0
2017-07-17T04:32:32Z,573.0
2017-07-17T04:33:36Z,571.0
2017-07-17T04:34:41Z,567.0
2017-07-17T04:35:45Z,567.0
2017-07-17T04:36:49Z,569.0
2017-07-17T04:37:54Z,568.0
2017-07-17T04:39:00Z,565.0
2017-07-17T04:40:05Z,564.0
2017-07-17T04:41:09Z,562.0
2017-07-17T04:42:14Z,563.0
2017-07-17T04:43:18Z,573.0
2017-07-17T04:44:23Z,567.0
2017-07-17T04:45:27Z,564.0
2017-07-17T04:46:32Z,560.0
2017-07-17T04:47:36Z,560.0
2017-07-17T04:48:41Z,571.0
2017-07-17T04:49:45Z,562.0
2017-07-17T04:50:50Z,573.0
2017-07-17T04:51:54Z,573.0
2017-07-17T04:53:00Z,566.0
2017-07-17T04:54:04Z,562.0
2017-07-17T04:55:09Z,562.0
2017-07-17T04:56:13Z,567.0
2017-07-17T04:57:18Z,566.0
2017-07-17T04:58:23Z,564.0
2017-07-17T04:59:27Z,567.0
2017-07-17T05:00:32Z,566.0
2017-07-17T05:01:36Z,569.0
2017-07-17T05:02:40Z,566.0
2017-07-17T05:03:45Z,572.0
2017-07-17T05:04:50Z,564.0
2017-07-17T05:05:54Z,573.0
2017-07-17T05:06:59Z,566.0
2017-07-17T05:08:03Z,563.0
2017-07-17T05:09:08Z,562.0
2017-07-17T05:10:12Z,568.0
2017-07-17T05:11:17Z,574.0
2017-07-17T05:12:23Z,559.0
2017-07-17T05:13:27Z,566.0
2017-07-17T05:14:32Z,561.0
2017-07-17T05:15:36Z,572.0
2017-07-17T05:16:41Z,564.0
2017-07-17T05:17:45Z,564.0
2017-07-17T05:18:50Z,571.0
2017-07-17T05:19:54Z,559.0
2017-07-17T05:20:59Z,564.0
2017-07-17T05:22:03Z,567.0
2017-07-17T05:23:08Z,574.0
2017-07-17T05:24:14Z,569.0
2017-07-17T05:25:19Z,563.0
2017-07-17T05:26:23Z,563.0
2017-07-17T05:27:28Z,566.0
2017-07-17T05:28:32Z,562.0
2017-07-17T05:29:39Z,565.0
2017-07-17T05:30:44Z,557.0
2017-07-17T05:31:50Z,563.0
2017-07-17T05:32:55Z,573.0
2017-07-17T05:33:59Z,579.0
2017-07-17T05:35:05Z,565.0
2017-07-17T05:36:11Z,564.0
2017-07-17T05:37:17Z,560.0
2017-07-17T05:38:21Z,563.0
2017-07-17T05:39:28Z,572.0
2017-07-17T05:40:32Z,567.0
2017-07-17T05:41:37Z,562.0
2017-07-17T05:42:41Z,568.0
2017-07-17T05:43:46Z,563.0
2017-07-17T05:44:51Z,563.0
2017-07-17T05:45:55Z,557.0
2017-07-17T05:46:59Z,568.0
2017-07-17T05:48:04Z,566.0
2017-07-17T05:49:08Z,565.0
2017-07-17T05:50:13Z,559.0
2017-07-17T05:51:17Z,567.0
2017-07-17T05:52:22Z,557.0
2017-07-17T05:53:26Z,563.0
2017-07-17T05:54:31Z,558.0
2017-07-17T05:55:37Z,570.0
2017-07-17T05:56:42Z,564.0
2017-07-17T05:57:46Z,560.0
2017-07-17T05:58:53Z,566.0
2017-07-17T05:59:57Z,559.0
2017-07-17T06:01:01Z,571.0
2017-07-17T06:02:08Z,565.0
2017-07-17T06:03:12Z,566.0
2017-07-17T06:04:17Z,567.0
2017-07-17T06:05:21Z,565.0
2017-07-17T06:06:26Z,567.0
2017-07-17T06:07:30Z,564.0
2017-07-17T06:08:35Z,564.0
2017-07-17T06:09:39Z,562.0
2017-07-17T06:10:43Z,565.0
2017-07-17T06:11:48Z,563.0
2017-07-17T06:12:52Z,567.0
2017-07-17T06:13:57Z,558.0
2017-07-17T06:15:01Z,556.0
2017-07-17T06:16:09Z,560.0
2017-07-17T06:17:13Z,564.0
2017-07-17T06:18:18Z,567.0
2017-07-17T06:19:22Z,565.0
2017-07-17T06:20:27Z,566.0
2017-07-17T06:21:31Z,563.0
2017-07-17T06:22:36Z,563.0
2017-07-17T06:23:40Z,562.0
2017-07-17T06:24:44Z,553.0
2017-07-17T06:25:49Z,554.0
2017-07-17T06:26:53Z,564.0
2017-07-17T06:27:58Z,557.0
2017-07-17T06:29:02Z,564.0
2017-07-17T06:30:07Z,561.0
2017-07-17T06:31:11Z,573.0
2017-07-17T06:32:16Z,559.0
2017-07-17T06:33:20Z,563.0
2017-07-17T06:34:25Z,565.0
2017-07-17T06:35:29Z,554.0
2017-07-17T06:36:34Z,566.0
2017-07-17T06:37:38Z,567.0
2017-07-17T06:38:43Z,564.0
2017-07-17T06:39:47Z,565.0
2017-07-17T06:40:52Z,569.0
2017-07-17T06:41:56Z,563.0
2017-07-17T06:43:01Z,566.0
2017-07-17T06:44:05Z,560.0
2017-07-17T06:45:10Z,566.0
2017-07-17T06:46:14Z,563.0
2017-07-17T06:47:19Z,565.0
2017-07-17T06:48:23Z,565.0
2017-07-17T06:49:28Z,568.0
2017-07-17T06:50:33Z,561.0
2017-07-17T06:51:37Z,566.0
2017-07-17T06:52:44Z,558.0
2017-07-17T06:53:49Z,557.0
2017-07-17T06:54:54Z,566.0
2017-07-17T06:55:58Z,564.0
2017-07-17T06:57:02Z,564.0
2017-07-17T06:58:08Z,560.0
2017-07-17T06:59:12Z,561.0
2017-07-17T07:00:17Z,568.0
2017-07-17T07:01:21Z,566.0
2017-07-17T07:02:26Z,561.0
2017-07-17T07:03:30Z,566.0
2017-07-17T07:04:35Z,568.0
2017-07-17T07:05:39Z,558.0
2017-07-17T07:06:44Z,564.0
2017-07-17T07:07:48Z,564.0
2017-07-17T07:08:53Z,562.0
2017-07-17T07:10:00Z,563.0
2017-07-17T07:11:04Z,560.0
