date,value
2017-07-18T04:00:28Z,457.0
2017-07-18T04:01:33Z,457.0
2017-07-18T04:02:37Z,463.0
2017-07-18T04:03:42Z,464.0
2017-07-18T04:04:46Z,469.0
2017-07-18T04:05:50Z,457.0
2017-07-18T04:06:55Z,463.0
2017-07-18T04:08:00Z,461.0
2017-07-18T04:09:05Z,458.0
2017-07-18T04:10:09Z,465.0
2017-07-18T04:11:14Z,459.0
2017-07-18T04:12:18Z,461.0
2017-07-18T04:13:22Z,462.0
2017-07-18T04:14:28Z,462.0
2017-07-18T04:15:32Z,463.0
2017-07-18T04:16:37Z,459.0
2017-07-18T04:17:44Z,461.0
2017-07-18T04:18:48Z,462.0
2017-07-18T04:19:53Z,461.0
2017-07-18T04:20:57Z,457.0
2017-07-18T04:22:02Z,461.0
2017-07-18T04:23:06Z,458.0
2017-07-18T04:24:11Z,462.0
2017-07-18T04:25:15Z,455.0
2017-07-18T04:26:20Z,455.0
2017-07-18T04:27:24Z,461.0
2017-07-18T04:28:28Z,459.0
2017-07-18T04:29:33Z,464.0
2017-07-18T04:30:37Z,462.0
2017-07-18T04:31:42Z,462.0
2017-07-18T04:32:46Z,460.0
2017-07-18T04:33:51Z,461.0
2017-07-18T04:34:55Z,452.0
2017-07-18T04:36:00Z,463.0
2017-07-18T04:37:04Z,453.0
2017-07-18T04:38:09Z,463.0
2017-07-18T04:39:13Z,454.0
2017-07-18T04:40:18Z,452.0
2017-07-18T04:41:22Z,455.0
2017-07-18T04:42:29Z,460.0
2017-07-18T04:43:33Z,458.0
2017-07-18T04:44:38Z,454.0
2017-07-18T04:45:42Z,459.0
2017-07-18T04:46:47Z,467.0
2017-07-18T04:47:51Z,457.0
2017-07-18T04:48:56Z,455.0
2017-07-18T04:50:00Z,467.0
2017-07-18T04:51:04Z,459.0
2017-07-18T04:52:09Z,456.0
2017-07-18T04:53:13Z,456.0
2017-07-18T04:54:18Z,455.0
2017-07-18T04:55:22Z,456.0
2017-07-18T04:56:27Z,459.0
2017-07-18T04:57:31Z,457.0
2017-07-18T04:58:36Z,450.0
2017-07-18T04:59:41Z,460.0
2017-07-18T05:00:48Z,447.0
2017-07-18T05:01:53Z,450.0
2017-07-18T05:02:57Z,455.0
2017-07-18T05:04:02Z,449.0
2017-07-18T05:05:06Z,452.0
2017-07-18T05:06:11Z,457.0
2017-07-18T05:07:16Z,459.0
2017-07-18T05:08:21Z,457.0
2017-07-18T05:09:25Z,460.0
2017-07-18T05:10:29Z,465.0
2017-07-18T05:11:34Z,458.0
2017-07-18T05:12:38Z,450.0
2017-07-18T05:13:43Z,457.0
2017-07-18T05:14:47Z,449.0
2017-07-18T05:15:52Z,456.0
2017-07-18T05:16:56Z,452.0
2017-07-18T05:18:01Z,448.0
2017-07-18T05:19:05Z,455.0
2017-07-18T05:20:10Z,451.0
2017-07-18T05:21:14Z,449.0
2017-07-18T05:22:18Z,452.0
2017-07-18T05:23:24Z,449.0
2017-07-18T05:24:28Z,456.0
2017-07-18T05:25:33Z,455.0
2017-07-18T05:26:37Z,456.0
2017-07-18T05:27:42Z,449.0
2017-07-18T05:28:46Z,455.0
2017-07-18T05:29:51Z,456.0
2017-07-18T05:30:55Z,450.0
2017-07-18T05:32:00Z,445.0
2017-07-18T05:33:04Z,445.0
2017-07-18T05:34:09Z,449.0
2017-07-18T05:35:13Z,453.0
2017-07-18T05:36:18Z,448.0
2017-07-18T05:37:22Z,449.0
2017-07-18T05:38:28Z,459.0
2017-07-18T05:39:32Z,455.0
2017-07-18T05:40:37Z,446.0
2017-07-18T05:41:41Z,451.0
2017-07-18T05:42:46Z,459.0
2017-07-18T05:43:50Z,451.0
2017-07-18T05:44:55Z,451.0
2017-07-18T05:45:59Z,448.0
2017-07-18T05:47:04Z,452.0
2017-07-18T05:48:08Z,447.0
2017-07-18T05:49:13Z,447.0
2017-07-18T05:50:17Z,449.0
2017-07-18T05:51:22Z,451.0
2017-07-18T05:52:26Z,455.0
2017-07-18T05:53:31Z,449.0
2017-07-18T05:54:35Z,453.0
2017-07-18T05:55:40Z,449.0
2017-07-18T05:56:45Z,451.0
2017-07-18T05:57:49Z,450.0
2017-07-18T05:58:55Z,450.0
2017-07-18T05:59:59Z,455.0
2017-07-18T06:01:03Z,456.0
2017-07-18T06:02:09Z,450.0
2017-07-18T06:03:14Z,447.0
2017-07-18T06:04:18Z,450.0
2017-07-18T06:05:23Z,449.0
2017-07-18T06:06:27Z,453.0
2017-07-18T06:07:32Z,448.0
2017-07-18T06:08:36Z,448.0
2017-07-18T06:09:41Z,441.0
2017-07-18T06:10:45Z,454.0
2017-07-18T06:11:50Z,459.0
2017-07-18T06:12:54Z,447.0
2017-07-18T06:13:59Z,454.0
2017-07-18T06:15:03Z,441.0
2017-07-18T06:16:08Z,452.0
2017-07-18T06:17:12Z,443.0
2017-07-18T06:18:17Z,460.0
2017-07-18T06:19:21Z,455.0
2017-07-18T06:20:27Z,447.0
2017-07-18T06:21:31Z,446.0
2017-07-18T06:22:36Z,443.0
2017-07-18T06:23:40Z,451.0
2017-07-18T06:24:45Z,452.0
2017-07-18T06:25:49Z,445.0
2017-07-18T06:26:54Z,440.0
2017-07-18T06:27:58Z,445.0
2017-07-18T06:29:03Z,450.0
2017-07-18T06:30:07Z,445.0
2017-07-18T06:31:12Z,449.0
2017-07-18T06:32:16Z,449.0
2017-07-18T06:33:22Z,445.0
2017-07-18T06:34:26Z,445.0
2017-07-18T06:35:31Z,453.0
2017-07-18T06:36:35Z,446.0
2017-07-18T06:37:40Z,444.0
2017-07-18T06:38:44Z,440.0
2017-07-18T06:39:49Z,449.0
2017-07-18T06:40:53Z,451.0
2017-07-18T06:41:58Z,447.0
2017-07-18T06:43:02Z,445.0
2017-07-18T06:44:07Z,442.0
2017-07-18T06:45:11Z,449.0
2017-07-18T06:46:16Z,442.0
2017-07-18T06:47:20Z,447.0
2017-07-18T06:48:24Z,449.0
2017-07-18T06:49:29Z,448.0
2017-07-18T06:50:33Z,446.0
2017-07-18T06:51:38Z,446.0
2017-07-18T06:52:42Z,447.0
2017-07-18T06:53:46Z,441.0
2017-07-18T06:54:51Z,441.0
2017-07-18T06:55:55Z,441.0
2017-07-18T06:57:00Z,449.0
2017-07-18T06:58:05Z,447.0
2017-07-18T06:59:10Z,444.0
2017-07-18T07:00:14Z,442.0
2017-07-18T07:01:19Z,448.0
2017-07-18T07:02:23Z,440.0
2017-07-18T07:03:28Z,445.0
2017-07-18T07:04:32Z,448.0
2017-07-18T07:05:36Z,443.0
2017-07-18T07:06:42Z,448.0
2017-07-18T07:07:46Z,444.0
2017-07-18T07:08:51Z,447.0
2017-07-18T07:09:55Z,443.0
2017-07-18T07:10:59Z,442.0
2017-07-18T07:12:04Z,443.0
2017-07-18T07:13:08Z,444.0
2017-07-18T07:14:13Z,442.0
2017-07-18T07:15:17Z,441.0
2017-07-18T07:16:22Z,442.0
2017-07-18T07:17:26Z,449.0
2017-07-18T07:18:31Z,439.0
2017-07-18T07:19:35Z,447.0
2017-07-18T07:20:40Z,445.0
2017-07-18T07:21:44Z,447.0
2017-07-18T07:22:49Z,444.0
2017-07-18T07:23:53Z,443.0
2017-07-18T07:24:58Z,443.0
2017-07-18T07:26:02Z,435.0
2017-07-18T07:27:07Z,443.0
2017-07-18T07:28:12Z,445.0
2017-07-18T07:29:17Z,446.0
2017-07-18T07:30:21Z,442.0
2017-07-18T07:31:28Z,443.0
2017-07-18T07:32:32Z,441.0
2017-07-18T07:33:37Z,444.0
2017-07-18T07:34:41Z,443.0
2017-07-18T07:35:48Z,449.0
2017-07-18T07:36:52Z,441.0
2017-07-18T07:37:57Z,438.0
2017-07-18T07:39:01Z,444.0
